zinc_id,name,smiles,catalog
5967118,,CN1C(N)=NC(=O)[C@H]1O,ZINC20
70544196,,NC(=O)[C@]1(N)CCCOC1,ZINC20
82655545,,NCCN1C[C@H](C(=O)O)CC1=O,ZINC20
91306010,,NC(=O)c1cnc(=O)[nH]c1,ZINC20
100336074,,Nc1c(O)c(=O)c1=O,ZINC20
238329546,,CN1[C@@H](CN)CCS1(=O)=O,ZINC20
5967236,,CN1C(N)=NC(=O)[C@@H]1O,ZINC20
2166829,,NC(=O)NCCC[C@@H](N)C(=O)O,ZINC20
4762433,,NCCC(=O)N[C@@H](CO)C(=O)O,ZINC20
52986906,,NCC[C@H](N)C(=O)O,ZINC20
1531042,,NOCC[C@H](N)C(=O)O,ZINC20
88613748,,NC[C@H]1CS(=O)(=O)CCO1,ZINC20
256055973,,B12B3[B-]14B1B4[B-]231,ZINC20
5502357,,NC(=O)Cc1nnn[nH]1,ZINC20
19685184,,CNC[C@@H](O)CN1CCN(C)CC1,ZINC20
37871893,,CN[C@@H]1COC[C@@H]1O,ZINC20
95883742,,NCCOCCN1C(=O)C=CC1=O,ZINC20
95616414,,NN[C@H]1CCNC1,ZINC20
4028703,,O=C(O)C[C@@]1(C(=O)O)O[C@@H]1C(=O)O,ZINC20
221859814,,NC(=S)N1CC(N)C1,ZINC20
3861074,,N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,ZINC20
1529600,,CNC(=O)CC[C@H](N)C(=O)O,ZINC20
62851133,,COCC(=O)N1CCNC(=O)C1,ZINC20
100007460,,O=C1N=C2NN=C[C@H]2C(=O)N1,ZINC20
1656225,,N[C@H](CCP(=O)(O)O)C(=O)O,ZINC20
4099140,,O=C(O)[C@H](O)CS(=O)(=O)O,ZINC20
13517393,,CC(=O)[C@@H](O)CO,ZINC20
40919043,,C[C@H](O)C[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,ZINC20
42420199,,CCOC(=O)C(=O)N1CCNCC1,ZINC20
100006137,,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,ZINC20
299888601,,B1BBBBBC=CBBBB1,ZINC20
307228379,,Cc1nnc2n1C[C@@H](C(N)=O)NC2,ZINC20
3257690,,NC(=O)N1C[C@@H](O)C[C@@H]1C(=O)O,ZINC20
94437874,,N=C(O)[C@@H](N)CO,ZINC20
100018661,,Nc1c(N)c(=O)c1=O,ZINC20
1887612843,,O=c1[nH]nc2n(c1=O)C[C@@H](O)C2,ZINC20
2504594,,OC[C@H]1O[C@@H](O)C[C@@H]1O,ZINC20
21953368,,NC(=O)CN1CCN(CCO)CC1,ZINC20
90225648,,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,ZINC20
642882242,,O=C1NC[C@H](O)CC12CNC2,ZINC20
1775954894,,NCc1nnc2n1C[C@H](C(=O)O)C2,ZINC20
3869934,,O=C(O)[C@H](O)COP(=O)(O)O,ZINC20
4255901,,OC[C@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O,ZINC20
95471923,,CN1C(=O)N[C@]2(CCNC2)C1=O,ZINC20
213689762,,COC(=O)CC1(N)CS(=O)(=O)C1,ZINC20
307416798,,NS(=O)(=O)CCn1ccnn1,ZINC20
1544855,,N=C(NN)NCCC[C@H](N)C(=O)O,ZINC20
4762439,,C[C@H](N)C(=O)NCCC(N)=O,ZINC20
78210675,,NCc1cn(CC(=O)O)nn1,ZINC20
95617504,,Nc1nc(=O)[nH]c2[nH]c(=O)[nH]c12,ZINC20
253639162,,O[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O[C@@H]12,ZINC20
1529518,,O=C1CNC(=O)CN1,ZINC20
1644968,,NC(=O)[C@@H]1NC(=O)NC1=O,ZINC20
21297941,,COC(=O)[C@H]1C(=O)CCNC1=O,ZINC20
39115199,,COC(=O)C[C@H]1NC(=O)CNC1=O,ZINC20
238699700,,Nc1nccc(P(=O)(O)O)n1,ZINC20
4095505,,O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O,ZINC20
20268617,,NC(=O)[C@@H]1CNCCN1,ZINC20
6613556,,O[C@H]1CCNC[C@@H]1O,ZINC20
34406024,,Nc1nc(=O)c(N)c[nH]1,ZINC20
35529671,,COC(=O)[C@@H](N)CCC(N)=O,ZINC20
26640165,,CN(CC(=O)O)C(=O)C(=O)O,ZINC20
40919044,,C[C@@H](O)C[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,ZINC20
85205432,,CNC(=O)C[C@H]1NCCNC1=O,ZINC20
700375672,,N[C@H](CCOCCO)C(=O)O,ZINC20
5732181,,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ZINC20
59480132,,CN1CCO[C@H](C(=O)O)C1=O,ZINC20
1857786677,,O=C(O)[C@@H]1CO[C@@H]2CNC[C@@H]2O1,ZINC20
1659811,,NC(=O)CNCCS(=O)(=O)O,ZINC20
5851505,,OC[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O,ZINC20
45951813,,O=c1[nH]cc(N2CCNCC2)c(=O)[nH]1,ZINC20
1606275,,NC(=O)N(CCO)CCO,ZINC20
1637971,,NCCC(=O)NCCC(=O)O,ZINC20
104600997,,CC(=O)[C@H]1C(=O)CNC1=O,ZINC20
211384428,,COCCN1C(=O)[C@@H]2CNC[C@H]2C1=O,ZINC20
1857781254,,O=c1[nH]nc2n(c1=O)CC[C@@H]2O,ZINC20
895103,,C[C@@H](O)[C@H](N)C(=O)O,ZINC20
2560808,,NC(=O)[C@H](N)CCC(=O)O,ZINC20
3869850,,O=C1C[C@@H](C(=O)O)NC(=O)N1,ZINC20
5851312,,OC[C@@H]1C[C@H](O)[C@@H](O)[C@@H](O)O1,ZINC20
1530424,,CC(=O)NCC[C@H](N)C(=O)O,ZINC20
50280164,,CS(=O)(=O)CC(=N)N,ZINC20
75864371,,OCCc1nnc2n1CCNC2,ZINC20
103015476,,O=C1N[C@H]2CN[C@H]1C2,ZINC20
143170167,,NC[C@H](O)Cn1ccnn1,ZINC20
5282314,,Nc1nc(Cc2nnc(N)[nH]2)n[nH]1,ZINC20
38343242,,NS(=O)(=O)[C@@H]1CCNC1,ZINC20
1857781222,,O=C(O)[C@]1(O)CCNC[C@H]1O,ZINC20
4521578,,CC1=N[C@H](C(=O)O)[C@@H](O)CN1,ZINC20
39053874,,NS(=O)(=O)N1CCC1,ZINC20
1637970,,NCC(=O)NCCC(=O)O,ZINC20
4692578,,NC(=O)CO,ZINC20
97463358,,OCC1(O)CNC1,ZINC20
34142277,,O=C(N1CCNCC1)N1CCNCC1,ZINC20
3379300,,CN(C)c1c(N)n(C)c(=O)[nH]c1=O,ZINC20
3641268,,CN1OC[C@H](N)C1=O,ZINC20
54956952,,CN1CCN2CCNC[C@H]2C1=O,ZINC20
197586711,,OC[C@@H]1NC[C@@H]2CNC[C@H]21,ZINC20
1530431,,O[C@H]1CO[C@H](O)[C@@H]1O,ZINC20
2004603,,N[C@@H](CC(C(=O)O)C(=O)O)C(=O)O,ZINC20
26898717,,OC[C@H]1CNCC[C@@H]1O,ZINC20
39020649,,O=C1CNC[C@@H](CO)N1,ZINC20
42040945,,N[C@H](CO)c1nc[nH]n1,ZINC20
1857779875,,COC(=O)[C@H]1CN[C@@H]2COC[C@H]2O1,ZINC20
17287835,,O=c1cc(O)nc(CO)[nH]1,ZINC20
62963010,,COC(=O)[C@]1(N)CCS(=O)(=O)C1,ZINC20
82406450,,N[C@@H](Cn1ccnn1)C(=O)O,ZINC20
82427125,,NC(=O)[C@@]1(N)CCOC1,ZINC20
1719890,,NC[C@H](O)CC[C@H](N)C(=O)O,ZINC20
4689151,,NOCC(=O)O,ZINC20
19230021,,CS(=O)(=O)N1CCNCC1,ZINC20
72233271,,C[C@H](O)[C@@H]1CN2C[C@H](O)C[C@H]2CN1,ZINC20
2436826,,C[C@@H](O)[C@H](N)CO,ZINC20
4533721,,N[C@@H](CC(=O)NCC(=O)O)C(=O)O,ZINC20
13511685,,O=C1NC[C@H](CO)C(=O)N1,ZINC20
39234178,,NS(=O)(=O)CCN1CCOCC1,ZINC20
39238136,,COCC(=O)NCCO,ZINC20
1510914,,O=C(O)CN1C(=O)C=CC1=O,ZINC20
4403354,,OC[C@@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,ZINC20
42191901,,C1CO[C@H](c2nnn[nH]2)CN1,ZINC20
1737952,,NCC(=O)N[C@H](CC(N)=O)C(=O)O,ZINC20
2029729,,CN(CCOP(=O)(O)O)C(=N)N,ZINC20
19419123,,OC[C@H](O)CN1CCOCC1,ZINC20
71478988,,O=S1(=O)CCN2CCNC[C@@H]2C1,ZINC20
253495920,,CN1CCN[C@H]2CS(=O)(=O)C[C@H]21,ZINC20
1772718208,,COC(=O)[C@H]1CCS(=O)(=O)CN1,ZINC20
1529079,,CNC(=O)C(=O)O,ZINC20
213709761,,NC1([C@@H]2NC(=O)NC2=O)CC1,ZINC20
19430442,,NC(=S)CN1C(=O)CNC1=O,ZINC20
263621374,,O=P(O)(O)NP(=O)(O)O,ZINC20
1775955092,,O=C(O)C12CN(C1)S(=O)(=O)C2,ZINC20
895173,,OC[C@]1(O)OC[C@H](O)[C@H]1O,ZINC20
1594572,,CCOC(=O)CNC(=O)CN,ZINC20
3809846,,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,ZINC20
88189564,,NC[C@H]1CNC(=O)CO1,ZINC20
1760798,,NCCOCCO,ZINC20
4301265,,NC(=O)[C@H]1CNC(=O)C1,ZINC20
